site_name,month,customer_type,cluster,n_obs,n_total_type_month_site,p_empirical,p_shrunk,p05,p50,p95,uncertainty_width,phi_balanced_tm_cluster,kappa_effective,support_weight,prior_alpha,posterior_alpha
Gbowele,2025-01,HH1,2,7,22,0.3181818181818182,0.3050986842105263,0.17774595261465714,0.3022182436064791,0.4481295661504775,0.27038361353582036,0.26846590909090906,7.857142857142858,0.5238095238095238,2.109375,9.109375
Gbowele,2025-01,HH1,3,1,22,0.045454545454545456,0.07648026315789475,0.01649335225255914,0.06835537950263973,0.1723694899495591,0.15587613769699998,0.16335227272727273,7.857142857142858,0.5238095238095238,1.283482142857143,2.2834821428571432
Gbowele,2025-01,HH1,inactive,1,22,0.045454545454545456,0.04769736842105263,0.005377517080450251,0.038483763257606496,0.11698584968595602,0.11160833260550576,0.05397727272727273,7.857142857142858,0.5238095238095238,0.4241071428571429,1.4241071428571428
Gbowele,2025-01,HH1,outlier,1,22,0.045454545454545456,0.039473684210526314,0.002986992925908789,0.030288424300534564,0.10579443778871848,0.1028074448628097,0.022727272727272728,7.857142857142858,0.5238095238095238,0.17857142857142858,1.1785714285714286
Gbowele,2025-01,HH2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2025-01,HH2,1,1,2,0.5,0.5,0.12310033980634877,0.5063417975985871,0.8931395244195437,0.7700391846131949,0.5,1.3636363636363638,0.09090909090909091,0.6818181818181819,1.6818181818181819
Gbowele,2025-01,HH2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2025-01,HH2,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2025-01,HH2,inactive,1,2,0.5,0.5,0.1068604755804563,0.4936582024014129,0.8768996601936511,0.7700391846131948,0.5,1.3636363636363638,0.09090909090909091,0.6818181818181819,1.6818181818181819
Gbowele,2025-01,HH2,outlier,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2025-01,HH3,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2025-01,HH3,1,2,4,0.5,0.5,0.20126065027941722,0.5129621547677421,0.7985746036314456,0.5973139533520284,0.5,2.5,0.16666666666666666,1.25,3.25
Gbowele,2025-01,HH3,2,2,4,0.5,0.5,0.20142539636855428,0.487037845232258,0.7987393497205827,0.5973139533520284,0.5,2.5,0.16666666666666666,1.25,3.25
Gbowele,2025-01,HH3,3,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2025-01,HH3,inactive,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2025-01,HH3,outlier,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2025-02,HH1,0,2,23,0.08695652173913043,0.07571214392803598,0.016894994674045354,0.06609242942819113,0.16295815179373638,0.14606315711969103,0.043478260869565216,8.023255813953488,0.5348837209302325,0.3488372093023256,2.3488372093023258
Gbowele,2025-02,HH1,1,10,23,0.43478260869565216,0.43733814910726454,0.2924040753275494,0.43583544311597877,0.5781189231423706,0.28571484781482115,0.44466403162055335,8.023255813953488,0.5348837209302325,3.5676532769556024,13.567653276955603
Gbowele,2025-02,HH1,2,5,23,0.21739130434782608,0.22846531279814636,0.1166665328416509,0.22373031776442714,0.36218806416008476,0.24552153131843385,0.2602108036890646,8.023255813953488,0.5348837209302325,2.087737843551797,7.087737843551797
Gbowele,2025-02,HH1,3,6,23,0.2608695652173913,0.2506474035709418,0.13118994229211497,0.24687945208403042,0.38398967259015343,0.2527997302980385,0.22134387351778656,8.023255813953488,0.5348837209302325,1.7758985200845665,7.775898520084566
